"DT_GERACAO";"HH_GERACAO";"ANO_ELEICAO";"CD_TIPO_ELEICAO";"NM_TIPO_ELEICAO";"CD_ELEICAO";"DS_ELEICAO";"DT_ELEICAO";"SG_UF";"SG_UE";"NM_UE";"SQ_CANDIDATO";"NR_ORDEM_CANDIDATO";"CD_TIPO_BEM_CANDIDATO";"DS_TIPO_BEM_CANDIDATO";"DS_BEM_CANDIDATO";"VR_BEM_CANDIDATO";"DT_ULTIMA_ATUALIZACAO";"HH_ULTIMA_ATUALIZACAO"
"20/09/2018";"09:50:19";"2014";"2";"Eleição Ordinária";"143";"Eleições Gerais 2014";"05/10/2014";"BA";"BA";"BAHIA";"50000000687";"17";"11";"Apartamento";"UM APARTAMENTO NO EDF VITORIA MARINA FLAT. SALVADOR-BA";"48500,00";"12/07/2018";"16:35:46"
"20/09/2018";"09:50:19";"2014";"2";"Eleição Ordinária";"143";"Eleições Gerais 2014";"05/10/2014";"BA";"BA";"BAHIA";"50000000687";"18";"12";"Casa";"UMA CASA RESIDENCIAL. SERRINHA-BA";"10000,00";"12/07/2018";"16:35:46"
"20/09/2018";"09:50:19";"2014";"2";"Eleição Ordinária";"143";"Eleições Gerais 2014";"05/10/2014";"BA";"BA";"BAHIA";"50000000687";"19";"2";"Prédio comercial";"UM PREDIO COMERCIAL. SERRINHA-BA";"112000,00";"12/07/2018";"16:35:46"
"20/09/2018";"09:50:19";"2014";"2";"Eleição Ordinária";"143";"Eleições Gerais 2014";"05/10/2014";"BA";"BA";"BAHIA";"50000000687";"20";"13";"Terreno";"DOIS LOTES PARA CONSTRUÇÃO EM SANTA BARBARA-BA";"10500,00";"12/07/2018";"16:35:46"
"20/09/2018";"09:50:19";"2014";"2";"Eleição Ordinária";"143";"Eleições Gerais 2014";"05/10/2014";"BA";"BA";"BAHIA";"50000000687";"21";"2";"Prédio comercial";"66,6% DO PREDIO COMERCIAL. SERRINHA-BA";"15000,00";"12/07/2018";"16:35:46"
"20/09/2018";"09:50:19";"2014";"2";"Eleição Ordinária";"143";"Eleições Gerais 2014";"05/10/2014";"BA";"BA";"BAHIA";"50000000687";"22";"1";"Prédio residencial";"UM PREDIO RESIDENCIAL E COMERCIAL. SERRINHA-BA";"120000,00";"12/07/2018";"16:35:46"
"20/09/2018";"09:50:19";"2014";"2";"Eleição Ordinária";"143";"Eleições Gerais 2014";"05/10/2014";"BA";"BA";"BAHIA";"50000000687";"23";"2";"Prédio comercial";"UM PREDIO COMERCIAL EM SERRINHA-BA";"25000,00";"12/07/2018";"16:35:46"
"20/09/2018";"09:50:19";"2014";"2";"Eleição Ordinária";"143";"Eleições Gerais 2014";"05/10/2014";"BA";"BA";"BAHIA";"50000000687";"24";"49";"Outras aplicações e Investimentos";"BUFÁLOS E BOVINOS";"35000,00";"12/07/2018";"16:35:46"
"20/09/2018";"09:50:19";"2014";"2";"Eleição Ordinária";"143";"Eleições Gerais 2014";"05/10/2014";"BA";"BA";"BAHIA";"50000000687";"25";"21";"Veículo automotor terrestre: caminhão, automóvel, moto, etc.";"UMA FRONTIER SE ATTACK 4/2 MT NISSAN, ANO 2012 MOD 2013";"84541,10";"12/07/2018";"16:35:46"
"20/09/2018";"09:50:19";"2014";"2";"Eleição Ordinária";"143";"Eleições Gerais 2014";"05/10/2014";"BA";"BA";"BAHIA";"50000000687";"26";"61";"Depósito bancário em conta corrente no País";"DEPOSITO BANCO DO BRASIL";"664,77";"12/07/2018";"16:35:46"
